PLANE	DESCRIPTION	START	END	STARTDEC	ENDDEC	BLOCK	POINTS	ASSIGNED	SCRIPTS
0	Basic Multilingual Plane	HX  4E00	HX  9FFF	19968	40959	CJK Unified Ideographs 	20,992	20,971	Han
0	Basic Multilingual Plane	HX  A000	HX  A48F	40960	42127	Yi Syllables 	1,168	1,165	Yi
0	Basic Multilingual Plane	HX  A490	HX  A4CF	42128	42191	Yi Radicals 	64	55	Yi
0	Basic Multilingual Plane	HX  A4D0	HX  A4FF	42192	42239	Lisu 	48	48	Lisu
0	Basic Multilingual Plane	HX  A500	HX  A63F	42240	42559	Vai 	320	300	Vai
0	Basic Multilingual Plane	HX  A640	HX  A69F	42560	42655	Cyrillic Extended-B 	96	96	Cyrillic
0	Basic Multilingual Plane	HX  A6A0	HX  A6FF	42656	42751	Bamum 	96	88	Bamum
0	Basic Multilingual Plane	HX  A700	HX  A71F	42752	42783	Modifier Tone Letters 	32	32	Common
0	Basic Multilingual Plane	HX  A720	HX  A7FF	42784	43007	Latin Extended-D 	224	160	Latin (155 characters), Common (5 characters)
0	Basic Multilingual Plane	HX  A800	HX  A82F	43008	43055	Syloti Nagri 	48	44	Syloti Nagri
0	Basic Multilingual Plane	HX  A830	HX  A83F	43056	43071	Common Indic Number Forms 	16	10	Common
0	Basic Multilingual Plane	HX  A840	HX  A87F	43072	43135	Phags-pa 	64	56	Phags Pa
0	Basic Multilingual Plane	HX  A880	HX  A8DF	43136	43231	Saurashtra 	96	82	Saurashtra
0	Basic Multilingual Plane	HX  A8E0	HX  A8FF	43232	43263	Devanagari Extended 	32	30	Devanagari
0	Basic Multilingual Plane	HX  A900	HX  A92F	43264	43311	Kayah Li 	48	48	Kayah Li (47 characters), Common (1 character)
0	Basic Multilingual Plane	HX  A930	HX  A95F	43312	43359	Rejang 	48	37	Rejang
0	Basic Multilingual Plane	HX  A960	HX  A97F	43360	43391	Hangul Jamo Extended-A 	32	29	Hangul
0	Basic Multilingual Plane	HX  A980	HX  A9DF	43392	43487	Javanese 	96	91	Javanese (90 characters), Common (1 character)
0	Basic Multilingual Plane	HX  A9E0	HX  A9FF	43488	43519	Myanmar Extended-B 	32	31	Myanmar
0	Basic Multilingual Plane	HX  AA00	HX  AA5F	43520	43615	Cham 	96	83	Cham
0	Basic Multilingual Plane	HX  AA60	HX  AA7F	43616	43647	Myanmar Extended-A 	32	32	Myanmar
0	Basic Multilingual Plane	HX  AA80	HX  AADF	43648	43743	Tai Viet 	96	72	Tai Viet
0	Basic Multilingual Plane	HX  AAE0	HX  AAFF	43744	43775	Meetei Mayek Extensions 	32	23	Meetei Mayek
0	Basic Multilingual Plane	HX  AB00	HX  AB2F	43776	43823	Ethiopic Extended-A 	48	32	Ethiopic
0	Basic Multilingual Plane	HX  AB30	HX  AB6F	43824	43887	Latin Extended-E 	64	54	Latin (52 characters), Greek (1 character), Common (1 character)
0	Basic Multilingual Plane	HX  AB70	HX  ABBF	43888	43967	Cherokee Supplement 	80	80	Cherokee
0	Basic Multilingual Plane	HX  ABC0	HX  ABFF	43968	44031	Meetei Mayek 	64	56	Meetei Mayek
0	Basic Multilingual Plane	HX  AC00	HX  D7AF	44032	55215	Hangul Syllables 	11,184	11,172	Hangul
0	Basic Multilingual Plane	HX  D7B0	HX  D7FF	55216	55295	Hangul Jamo Extended-B 	80	72	Hangul
0	Basic Multilingual Plane	HX  D800	HX  DB7F	55296	56191	High Surrogates 	896	0	Unknown
0	Basic Multilingual Plane	HX  DB80	HX  DBFF	56192	56319	High Private Use Surrogates 	128	0	Unknown
0	Basic Multilingual Plane	HX  DC00	HX  DFFF	56320	57343	Low Surrogates 	1,024	0	Unknown
0	Basic Multilingual Plane	HX  E000	HX  F8FF	57344	63743	Private Use Area 	6,400	6,400	Unknown
0	Basic Multilingual Plane	HX  F900	HX  FAFF	63744	64255	CJK Compatibility Ideographs 	512	472	Han
0	Basic Multilingual Plane	HX  FB00	HX  FB4F	64256	64335	Alphabetic Presentation Forms 	80	58	Armenian (5 characters), Hebrew (46 characters), Latin (7 characters)
0	Basic Multilingual Plane	HX  FB50	HX  FDFF	64336	65023	Arabic Presentation Forms-A 	688	611	Arabic (609 characters), Common (2 characters)
0	Basic Multilingual Plane	HX  FE00	HX  FE0F	65024	65039	Variation Selectors 	16	16	Inherited
0	Basic Multilingual Plane	HX  FE10	HX  FE1F	65040	65055	Vertical Forms 	16	10	Common
0	Basic Multilingual Plane	HX  FE20	HX  FE2F	65056	65071	Combining Half Marks 	16	16	Cyrillic (2 characters), Inherited (14 characters)
0	Basic Multilingual Plane	HX  FE30	HX  FE4F	65072	65103	CJK Compatibility Forms 	32	32	Common
