# File Name: TALLY_HO.txt
# File Size: 31207       
# File Date: 01/01/2026 19:21:07
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	AIONIAN	STANDARD	SOURCE
Holy-Bible---Indonesian---New-Indonesian-Translation	31102	31102	31102
Holy-Bible---Indonesian---Simple	20686	20686	20687
Holy-Bible---Irish---Odomhnuill-Modern	1115	1115	1115
Holy-Bible---Isanzu---Isanzu-Bible	7950	7950	7955
Holy-Bible---Italian---Conferenza-Episcopale-Italiana	31072	31072	31333
Holy-Bible---Italian---Italian-Giovanni-Diodati-Bible	31102	31102	31110
Holy-Bible---Italian---Italian-Riveduta-Bible	31102	31102	31102
Holy-Bible---Janji---Janji-Bible	7947	7947	7952
Holy-Bible---Japanese---Japanese-Bungo-yaku	31099	31099	31099
Holy-Bible---Japanese---Japanese-Electronic-Network-Bible	5516	5516	5517
Holy-Bible---Japanese---Japanese-Kougo-yaku	31086	31086	31086
Holy-Bible---Japanese---Japanese-Meiji-yaku	10694	10694	10694
Holy-Bible---Japanese---Japanese-Raguet-yaku	7952	7952	7953
Holy-Bible---Japanese---New-Japanese-New-Testament	7939	7939	7941
Holy-Bible---Jumjum---Jumjum-Bible	2601	2601	2601
Holy-Bible---Juray---Juray-Bible	7957	7957	7959
Holy-Bible---Kamano---Kamano-Kafe	31091	31091	31092
Holy-Bible---Kannada---Indian-Revised-Version	31029	31029	31031
Holy-Bible---Kannada---Open-Contemporary	31089	31089	31090
Holy-Bible---Kannada---Siddi-Bible	7955	7955	7958
Holy-Bible---Kapin---Kapin-Bible	5184	5184	5185
Holy-Bible---Kara---Kara-Bible	7950	7950	7955
Holy-Bible---Kiche---Totonicapan	7955	7955	7957
Holy-Bible---Kinga---Mahanji-Bible	7905	7905	7908
Holy-Bible---Kisi---Kisi-Bible	7943	7943	7948
Holy-Bible---Kituba---Kituba-Bible	31094	31094	31166
Holy-Bible---Kizalamo---Zaramo-Kizalamo-Bible	10699	10699	10701
Holy-Bible---Koda---Koda-Bible	3799	3799	3799
Holy-Bible---Kolami-Southeastern---Kolami-Bible	7931	7931	7934
Holy-Bible---Konda-Dora---Konda-Porja-Bible	7896	7896	7898
Holy-Bible---Korean---Korean-1910	31000	31000	31000
Holy-Bible---Korean---Korean-RV	31011	31011	31039
Holy-Bible---Korean---Korean-Revised-Version	31084	31084	31085
