BIBLE	MAP
Holy-Bible---English---Montgomery-NT	NONE
Holy-Bible---English---New-Heart-Aramaic	NONE
Holy-Bible---English---New-Heart-Jehovah	NONE
Holy-Bible---English---New-Heart-Jesus-Messiah	NONE
Holy-Bible---English---New-Heart-Messianic	NONE
Holy-Bible---English---New-Heart-Standard	NONE
Holy-Bible---English---New-Heart-YHWH	NONE
Holy-Bible---English---Noyes	NONE
Holy-Bible---English---One-Unity-Resource-Bible	NONE
Holy-Bible---English---Open-English-Bible-Commonwealth	NONE
Holy-Bible---English---Open-English-Bible-US	NONE
Holy-Bible---English---Orthodox-Jewish-Bible	GEN31-32
Holy-Bible---English---Orthodox-Jewish-Bible	EXO7-8
Holy-Bible---English---Orthodox-Jewish-Bible	EXO21-22
Holy-Bible---English---Orthodox-Jewish-Bible	LEV5-6
Holy-Bible---English---Orthodox-Jewish-Bible	NUM16-17
Holy-Bible---English---Orthodox-Jewish-Bible	NUM29-30
Holy-Bible---English---Orthodox-Jewish-Bible	DEU12-13
Holy-Bible---English---Orthodox-Jewish-Bible	DEU22-23
Holy-Bible---English---Orthodox-Jewish-Bible	DEU28-29
Holy-Bible---English---Orthodox-Jewish-Bible	1SA20-21
Holy-Bible---English---Orthodox-Jewish-Bible	1SA23-24
Holy-Bible---English---Orthodox-Jewish-Bible	2SA18-19
Holy-Bible---English---Orthodox-Jewish-Bible	1KI4-5
Holy-Bible---English---Orthodox-Jewish-Bible	2KI11-12
Holy-Bible---English---Orthodox-Jewish-Bible	1CH5-6
Holy-Bible---English---Orthodox-Jewish-Bible	2CH1-2
Holy-Bible---English---Orthodox-Jewish-Bible	2CH13-14
Holy-Bible---English---Orthodox-Jewish-Bible	NEH3-4
Holy-Bible---English---Orthodox-Jewish-Bible	NEH9-10
Holy-Bible---English---Orthodox-Jewish-Bible	JOB2-3
Holy-Bible---English---Orthodox-Jewish-Bible	JOB40-41
Holy-Bible---English---Orthodox-Jewish-Bible	ECC4-5
Holy-Bible---English---Orthodox-Jewish-Bible	SOL6-7
Holy-Bible---English---Orthodox-Jewish-Bible	ISA8-9
Holy-Bible---English---Orthodox-Jewish-Bible	JER8-9
Holy-Bible---English---Orthodox-Jewish-Bible	JER30-31
Holy-Bible---English---Orthodox-Jewish-Bible	EZE20-21
Holy-Bible---English---Orthodox-Jewish-Bible	DAN3-4
Holy-Bible---English---Orthodox-Jewish-Bible	DAN5-6
Holy-Bible---English---Orthodox-Jewish-Bible	HOS1-2
