# File Name: UNTRANSLATECOUNT.txt
# File Size: 53448       
# File Date: 01/01/2026 19:06:43
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	HELL_ALL	HELL_OUT	SHEOL	GEHENNA	ELEESE	HADES	ABYSS	TARTARUS	LOF	AION	AIONIAN	AION-2	AIDIOS	AION_OUT	CUSTOM	OUT	IN	VERSE_DO	VERSE_OK	VERSE_SK	VERSE_NO	VERSE_ER	VERSE_CK
Holy-Bible---Sanskrit---IAST-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---ISO-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---ITRANS-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Kannada-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Khmer-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Malayalam-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Oriya-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Punjabi-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Sinhala-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Tamil-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Telugu-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Thai-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Tibetan-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Urdu-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sanskrit---Velthuis-Script	0	0	0	12	1	11	9	1	5	94	63	10	2	0	23	0	208	212	200	0	64	0	12
Holy-Bible---Sari---Sari-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	200	199	1	64	0	1
Holy-Bible---Satawalese---Satawalese-Bible	0	0	0	11	0	4	1	0	0	26	24	10	0	0	1	0	76	71	70	1	193	0	1
Holy-Bible---Scots-Gaelic---Scots-Gaelic-Gospel-Mark	0	0	0	3	0	0	0	0	0	2	1	4	0	0	0	0	10	8	8	0	256	0	0
Holy-Bible---Serbian---Karadzic-Danicic-Latin-Script	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Serbian---Serbian-Ekavski-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Serbian---Serbian-ONSP-Cyrillic	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Serbian---Serbian-ONST-Latin	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Setswana---Open-Tswana-Living	0	0	0	12	1	11	9	1	5	92	62	12	2	0	4	0	207	199	196	3	64	1	3
Holy-Bible---Sgaw-Karen---Mason-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Shi---Mashi-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Sholaga---Sholaga-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Shona---Rakasununguka	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Shona---Shona-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---SlavonicChurch---Church-Slavonic-Elizabeth	0	4	64	12	1	11	9	1	5	94	63	10	2	0	15	4	272	279	264	0	0	0	15
Holy-Bible---Slovak---Slovak-Bible	0	0	0	12	1	11	9	1	5	93	62	12	2	0	2	0	208	200	200	0	64	0	0
Holy-Bible---Slovene---Slovene-Savli-Bible	0	1	64	12	1	11	9	1	5	94	63	10	2	0	1	1	272	265	264	0	0	0	1
