# File Name: UNTRANSLATEREVERSE.txt
# File Size: 11866416    
# File Date: 08/22/2026 15:09:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	INDEXX	BOOKX	CHAPTERX	VERSEX
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	023	039	040	MAT	023	038
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	011-SKIP	040	MAT	028	011-SKIP
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	011	040	MAT	028	012
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	012	040	MAT	028	013
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	013	040	MAT	028	014
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	014	040	MAT	028	015
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	015	040	MAT	028	016
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	016	040	MAT	028	017
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	017	040	MAT	028	018
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	018	040	MAT	028	019
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	019	040	MAT	028	020
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	020	040	MAT	028	021
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	001	041	MAR	008	039
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	002	041	MAR	009	001
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	003	041	MAR	009	002
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	004	041	MAR	009	003
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	005	041	MAR	009	004
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	006	041	MAR	009	005
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	007	041	MAR	009	006
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	008	041	MAR	009	007
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	009	041	MAR	009	008
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	010	041	MAR	009	009
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	011	041	MAR	009	010
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	012	041	MAR	009	011
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	013	041	MAR	009	012
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	014	041	MAR	009	013
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	015	041	MAR	009	014
Holy-Bible---Armenian---Armenian-Bible-Eastern	041	MAR	009	016	041	MAR	009	015
